### Supplementary material for the paper "Balitsky-Kovchegov equation at next-to-leading order"
### Authors: C. Casuga, H. Hänninen, H. Mäntysaari
### 100 samples from the Bayesian posterior distribution 
### Parametrization is defined in Equations [15] and [17]
### Evolution equation: KCBK evolution 
### Running coupling: Bal + SD
### Columns: BK file index, qs0^2 [GeV^2], gamma, C^2, sigma0/2 [mb], mc [GeV]
0, 0.1364148, 3.2888741, 1.6390817, 8.5372796, 1.2551955
1, 0.1288053, 3.6071976, 1.8506599, 9.2233742, 1.2643560
2, 0.1246950, 2.8371415, 1.5927608, 8.6893111, 1.2562768
3, 0.1375507, 3.1895762, 1.6159154, 8.3907208, 1.2525723
4, 0.1268136, 3.2288187, 1.6250050, 8.8980894, 1.2517476
5, 0.1265269, 2.5724929, 1.5728685, 8.4972520, 1.2392084
6, 0.1279689, 3.1227386, 1.8157752, 8.9735252, 1.2295498
7, 0.1275296, 3.1014997, 1.6379435, 8.9169548, 1.2433249
8, 0.1357236, 3.3529775, 1.5106809, 8.3899080, 1.2521173
9, 0.1118663, 2.3912531, 1.7719706, 9.2567675, 1.2294655
10, 0.1261558, 2.6795543, 1.6548767, 8.6678764, 1.2441923
11, 0.1355942, 2.8593923, 1.6947832, 8.3650675, 1.2435285
12, 0.1266474, 3.3003276, 1.5398965, 8.7629277, 1.2646191
13, 0.1328442, 3.1381818, 1.7204913, 8.7023888, 1.2528003
14, 0.1322619, 3.1243422, 1.6999650, 8.5948892, 1.2435106
15, 0.1299664, 3.6379564, 1.6107382, 8.8476046, 1.2703538
16, 0.1348711, 3.3298816, 1.4692399, 8.3049919, 1.2452067
17, 0.1262647, 3.1032691, 1.6417406, 8.8176120, 1.2380607
18, 0.1347125, 3.1497639, 1.5640762, 8.3763927, 1.2508771
19, 0.1342868, 3.3432820, 1.6602172, 8.6710945, 1.2530994
20, 0.1370030, 3.2481275, 1.5710416, 8.2884930, 1.2342597
21, 0.1135869, 2.3467415, 1.9629703, 9.4879641, 1.2194596
22, 0.1365380, 3.4098569, 1.3762757, 7.9883862, 1.2498890
23, 0.1379041, 3.2641272, 1.6317562, 8.5002938, 1.2467765
24, 0.1249593, 2.5546933, 1.8033889, 8.8497073, 1.2232781
25, 0.1357284, 3.2161459, 1.5242127, 8.3769472, 1.2585587
26, 0.1337558, 3.0214338, 1.4449525, 8.1975041, 1.2469913
27, 0.1363617, 3.0549649, 1.5562425, 8.2932445, 1.2471725
28, 0.1326675, 3.1399717, 1.5664491, 8.4349926, 1.2600735
29, 0.1363217, 3.4103330, 1.4931844, 8.2645480, 1.2471424
30, 0.1266324, 3.2495854, 1.7606671, 9.0547573, 1.2626430
31, 0.1365049, 3.3556669, 1.6112361, 8.5180534, 1.2471561
32, 0.1384274, 3.3676172, 1.5825470, 8.3809457, 1.2572956
33, 0.1263845, 3.0863746, 1.7086884, 8.9678700, 1.2460105
34, 0.1214468, 3.1145274, 1.9626424, 9.6255665, 1.2335992
35, 0.1286992, 3.1613170, 1.5594054, 8.6107184, 1.2439491
36, 0.1228967, 2.6332341, 2.0654549, 9.2345819, 1.2365223
37, 0.1215928, 2.8507440, 1.9801031, 9.4720519, 1.2221349
38, 0.1236080, 2.6257653, 1.9221760, 9.0925253, 1.2189280
39, 0.1339148, 3.1538032, 1.5465352, 8.4188530, 1.2579286
40, 0.1344215, 3.2243876, 1.5798688, 8.4427231, 1.2471371
41, 0.1293366, 2.8558860, 1.7633425, 8.7913461, 1.2343259
42, 0.1374718, 3.2918032, 1.6176904, 8.6922994, 1.2447189
43, 0.1336510, 3.4478312, 1.6100242, 8.7750159, 1.2579505
44, 0.1354073, 3.3647349, 1.3320565, 8.1000875, 1.2689621
45, 0.1279840, 2.8527782, 1.9692107, 8.9984544, 1.2256183
46, 0.1238430, 2.4727045, 1.5362991, 8.3607686, 1.2138136
47, 0.1269110, 2.9424922, 1.5691084, 8.5972931, 1.2548531
48, 0.1256873, 3.2349462, 1.4090245, 8.4971404, 1.2484686
49, 0.1307496, 3.2273965, 1.6273747, 8.6687030, 1.2534557
50, 0.1300942, 3.3088177, 1.6162759, 8.6544432, 1.2498574
51, 0.1283614, 2.5468029, 1.6658624, 8.4313537, 1.2236547
52, 0.1272105, 3.0024388, 1.8798745, 9.0432946, 1.2613915
53, 0.1379111, 3.2523053, 1.6867732, 8.2934961, 1.2532079
54, 0.1224694, 2.7724525, 1.8938283, 9.2874119, 1.2400392
55, 0.1252342, 2.7588681, 2.0356519, 9.2076287, 1.2372243
56, 0.1330174, 3.1770577, 1.7750692, 8.8122587, 1.2443273
57, 0.1216860, 2.8458353, 1.8304347, 9.3467834, 1.2428567
58, 0.1250522, 3.0717188, 1.9971446, 9.3467800, 1.2429198
59, 0.1339114, 3.2728963, 1.5273434, 8.4832556, 1.2527887
60, 0.1337114, 3.2498849, 1.4956998, 8.4328381, 1.2555374
61, 0.1238892, 3.0454856, 1.7680640, 9.1338941, 1.2541178
62, 0.1367599, 3.2630267, 1.5981669, 8.4362864, 1.2553421
63, 0.1299563, 3.4486129, 1.5130800, 8.5839066, 1.2715837
64, 0.1249220, 2.5714758, 1.7387454, 8.7052757, 1.2241188
65, 0.1319370, 2.9576106, 1.7024419, 8.5916069, 1.2464781
66, 0.1348894, 3.1719523, 1.5343924, 8.3849398, 1.2464348
67, 0.1240534, 3.1221092, 1.7808447, 9.1945265, 1.2398037
68, 0.1357525, 3.2793998, 1.5712379, 8.5098191, 1.2486201
69, 0.1291200, 2.9720512, 1.5828705, 8.6421691, 1.2421463
70, 0.1330843, 3.3131664, 1.3556689, 8.1343980, 1.2529359
71, 0.1354523, 3.4166917, 1.6360019, 8.7139192, 1.2519263
72, 0.1369829, 3.3014365, 1.6260562, 8.4755158, 1.2551630
73, 0.1275240, 3.1493540, 1.4358427, 8.5809962, 1.2571668
74, 0.1235082, 2.7934603, 2.0691984, 9.4211147, 1.2430852
75, 0.1297434, 3.1576436, 1.7971296, 8.9603943, 1.2524311
76, 0.1266006, 2.6658809, 1.7611091, 8.7266338, 1.2331394
77, 0.1228095, 2.6381763, 1.8188998, 9.0348368, 1.2307422
78, 0.1270389, 2.9938358, 1.8353045, 9.0236315, 1.2287333
79, 0.1297894, 3.0307832, 1.7086193, 8.8100521, 1.2362968
80, 0.1351522, 3.0941245, 1.5656467, 8.2515554, 1.2469649
81, 0.1238606, 2.7914427, 1.8711596, 9.2459267, 1.2364228
82, 0.1337318, 3.1445945, 1.5813439, 8.4044208, 1.2360321
83, 0.1340863, 3.2324952, 1.6841611, 8.6611097, 1.2495340
84, 0.1257588, 3.1279933, 1.5721973, 8.8104104, 1.2596019
85, 0.1292858, 2.9038829, 1.6255217, 8.3908573, 1.2386945
86, 0.1250439, 2.7524503, 1.8003113, 9.0362836, 1.2359443
87, 0.1294784, 3.0816312, 1.8145663, 8.9295227, 1.2401349
88, 0.1297817, 2.9344982, 1.6044130, 8.4477317, 1.2312314
89, 0.1338546, 3.4394654, 1.6547453, 8.6130223, 1.2606318
90, 0.1320027, 3.2386940, 1.7028123, 8.7798616, 1.2511091
91, 0.1224149, 2.5441847, 1.9292884, 9.0597596, 1.2360837
92, 0.1249843, 2.7275946, 2.0426361, 9.2009135, 1.2386149
93, 0.1360193, 3.3602349, 1.6347604, 8.5047235, 1.2497705
94, 0.1253703, 3.0313543, 1.6551898, 8.8265449, 1.2442250
95, 0.1239737, 2.7821975, 1.8159313, 9.0280137, 1.2425069
96, 0.1211308, 3.1531986, 1.7386161, 9.2042079, 1.2510103
97, 0.1344998, 3.3332481, 1.5314555, 8.4335426, 1.2558344
98, 0.1282598, 3.0104474, 1.7282344, 8.8032541, 1.2417653
99, 0.1355736, 3.3380554, 1.7681416, 8.6379912, 1.2537831
