### Supplementary material for the paper "Balitsky-Kovchegov equation at next-to-leading order"
### Authors: C. Casuga, H. Hänninen, H. Mäntysaari
### 100 samples from the Bayesian posterior distribution 
### Parametrization is defined in Equations [15] and [17]
### Evolution equation: KCBK evolution 
### Running coupling: parent dipole 
### Columns: BK file index, qs0^2 [GeV^2], gamma, log10 C^2, sigma0/2 [mb], mc [GeV]
0, 0.0967796, 1.6923355, 2.8171650, 20.6270587, 1.4898691
1, 0.0955343, 1.6646037, 2.7937900, 20.3520240, 1.4204667
2, 0.0971571, 1.6812010, 2.8429644, 20.7171002, 1.4356161
3, 0.0947993, 1.6614872, 2.8162518, 20.9033960, 1.4675878
4, 0.0855781, 1.5676350, 2.7971750, 20.8484677, 1.4304983
5, 0.0900939, 1.6047531, 2.8272354, 21.1232430, 1.5165831
6, 0.0852031, 1.5968286, 2.9595530, 22.4133591, 1.4302715
7, 0.0982646, 1.7307180, 2.8524402, 21.0516508, 1.4981193
8, 0.0877751, 1.5902621, 2.8443385, 21.0762067, 1.4120340
9, 0.0959936, 1.6551845, 2.8289475, 20.1566523, 1.4313203
10, 0.1008684, 1.7036679, 2.8326227, 19.6261524, 1.4341793
11, 0.0794666, 1.5538881, 2.9881817, 23.3300294, 1.4678008
12, 0.0893332, 1.6401598, 2.9374664, 22.0792471, 1.4559008
13, 0.0842154, 1.5805344, 2.8650786, 22.0929407, 1.4218114
14, 0.1000724, 1.7027392, 2.7190656, 19.7542727, 1.4919983
15, 0.0914585, 1.6432589, 2.8340440, 21.4590381, 1.4615562
16, 0.1083306, 1.7892632, 2.6601913, 18.9450600, 1.4294010
17, 0.1085645, 1.7538643, 2.6740470, 18.6247923, 1.4253558
18, 0.1087302, 1.7818276, 2.7668972, 19.2509341, 1.4671452
19, 0.0993697, 1.6811153, 2.7679106, 19.8292412, 1.4279791
20, 0.0920038, 1.6141077, 2.9257630, 20.9118763, 1.4489212
21, 0.0849579, 1.5753867, 2.7810788, 21.2489252, 1.4257267
22, 0.0952326, 1.6713271, 2.8809629, 20.8431605, 1.4599060
23, 0.1038690, 1.7306401, 2.9029629, 19.8781835, 1.4380579
24, 0.1004742, 1.6880755, 2.7119926, 19.2796799, 1.4404422
25, 0.1016813, 1.7355549, 2.7718175, 20.0046212, 1.5062194
26, 0.1033318, 1.7316351, 2.8043949, 19.8597128, 1.5086612
27, 0.0954764, 1.6349198, 2.8491968, 20.1434287, 1.4489172
28, 0.0965530, 1.7073422, 2.9077996, 21.4198055, 1.4754594
29, 0.0948087, 1.6722913, 2.7669276, 20.5443023, 1.4617112
30, 0.1008424, 1.6887247, 2.8327057, 19.8025257, 1.4192442
31, 0.0895283, 1.6095129, 2.8053406, 21.0523132, 1.4801332
32, 0.1013409, 1.7234121, 2.8480523, 19.8777020, 1.4457459
33, 0.0852386, 1.5661296, 2.8971327, 21.4503262, 1.4476440
34, 0.0941593, 1.6745810, 2.8678100, 21.0726826, 1.4876150
35, 0.1095828, 1.7899672, 2.7413157, 18.9110421, 1.4370160
36, 0.0974151, 1.6818978, 2.8237649, 20.2617857, 1.4466154
37, 0.0951473, 1.6358080, 2.8356399, 20.2619369, 1.4071493
38, 0.1033288, 1.7349456, 2.7841569, 20.0554385, 1.4831784
39, 0.1132358, 1.8663136, 2.7750974, 19.2928292, 1.4775596
40, 0.0927436, 1.6429978, 2.8386984, 20.8061898, 1.4186870
41, 0.0830436, 1.5744348, 2.8619699, 22.1996330, 1.4238599
42, 0.0914591, 1.6381837, 2.8915560, 21.3125051, 1.4657106
43, 0.0930127, 1.6420930, 2.8398997, 21.0602714, 1.4370180
44, 0.0997646, 1.6791229, 2.7677337, 19.8319435, 1.4374702
45, 0.0907660, 1.6518732, 3.0508469, 22.0847494, 1.4366688
46, 0.0885625, 1.6343130, 2.9282439, 22.1447866, 1.4363853
47, 0.0912085, 1.6198178, 2.9280270, 21.2929330, 1.4278543
48, 0.1091670, 1.7844778, 2.7456554, 19.1833207, 1.4988796
49, 0.0999933, 1.7147429, 2.7344256, 20.1993168, 1.4904366
50, 0.0974637, 1.7028238, 2.7737250, 20.2896479, 1.4760600
51, 0.1001514, 1.7073119, 2.8796313, 20.2595510, 1.4288481
52, 0.1025491, 1.7042361, 2.8772379, 19.7702065, 1.4571368
53, 0.0889122, 1.5926201, 2.9084145, 20.8956123, 1.3965858
54, 0.0963397, 1.6633829, 2.8789775, 20.3232304, 1.4467343
55, 0.1016184, 1.7330649, 2.8679833, 20.3095628, 1.4543523
56, 0.1002373, 1.7137649, 2.7675342, 19.9391014, 1.4619138
57, 0.0889357, 1.6122925, 2.8929714, 21.6772864, 1.4291607
58, 0.1013795, 1.7039064, 2.7610247, 19.3769715, 1.4085228
59, 0.0854930, 1.6021186, 3.0422673, 22.6519261, 1.4495216
60, 0.0970395, 1.6820127, 2.8694973, 20.8066734, 1.4517460
61, 0.0867418, 1.5924101, 2.9351635, 21.8699541, 1.4278101
62, 0.0889743, 1.6206112, 2.9431344, 21.7958857, 1.4557047
63, 0.1040976, 1.7412421, 2.7078814, 19.3030215, 1.4922463
64, 0.0918623, 1.6143442, 2.8612481, 20.4841702, 1.4635252
65, 0.1033599, 1.7337161, 2.7938798, 19.8566422, 1.4454942
66, 0.1009816, 1.7123950, 2.8993613, 20.3272266, 1.4646658
67, 0.0985369, 1.7076933, 2.8281921, 20.5313355, 1.4828906
68, 0.0938641, 1.6836285, 3.0058452, 21.9471860, 1.4550630
69, 0.1056559, 1.7450945, 2.8262017, 19.5844858, 1.4479989
70, 0.1055105, 1.7556799, 2.7232251, 19.3565911, 1.4411089
71, 0.0992588, 1.7074160, 2.8765844, 20.5347365, 1.4456992
72, 0.0982328, 1.6926700, 2.8375116, 20.4545577, 1.4464507
73, 0.0827971, 1.5749398, 3.0656960, 23.4477851, 1.4704886
74, 0.0901795, 1.6341511, 2.9081552, 21.3203856, 1.4371215
75, 0.1012940, 1.7277843, 2.9074569, 20.4450629, 1.4559373
76, 0.0994107, 1.6698091, 2.7116252, 19.5576355, 1.4293599
77, 0.0900760, 1.6268963, 2.8694972, 21.4586430, 1.4305314
78, 0.0951101, 1.6604581, 2.8549415, 20.6709583, 1.4549410
79, 0.0981950, 1.7102342, 2.8857312, 20.8522603, 1.4806013
80, 0.0866485, 1.5970175, 2.9507755, 21.9414380, 1.4809804
81, 0.1019217, 1.7247357, 2.8026515, 20.0812338, 1.4483397
82, 0.0902692, 1.6324286, 2.8529795, 21.4197216, 1.4291372
83, 0.1103918, 1.8288152, 2.7186581, 19.4324037, 1.5009524
84, 0.0888338, 1.6176609, 2.9904745, 21.9209632, 1.4408622
85, 0.1066376, 1.7512647, 2.7655143, 18.8758165, 1.4476931
86, 0.1020219, 1.6972519, 2.8201809, 19.7301200, 1.4436654
87, 0.0987233, 1.7040130, 2.7932758, 20.3653216, 1.5017009
88, 0.1069123, 1.7636798, 2.7359273, 19.1671160, 1.4568185
89, 0.0925789, 1.6311038, 2.8439012, 20.8188865, 1.4394654
90, 0.1045124, 1.7136275, 2.7858944, 19.3058646, 1.4069878
91, 0.1081875, 1.7473951, 2.7216783, 18.7781835, 1.4715275
92, 0.0957114, 1.6843461, 2.7798321, 20.3956197, 1.4188314
93, 0.1002215, 1.6883370, 2.8087060, 19.7372093, 1.5099526
94, 0.1060016, 1.7606374, 2.7640532, 19.5519142, 1.5166365
95, 0.0993937, 1.6952902, 2.8164524, 20.0587400, 1.4606904
96, 0.0925675, 1.6480539, 2.8700066, 21.4346258, 1.4941470
97, 0.0961359, 1.6570083, 2.8659852, 20.5676097, 1.4402016
98, 0.0988726, 1.6741096, 2.8024170, 19.8792387, 1.4388115
99, 0.1057601, 1.7600174, 2.7394263, 19.0587829, 1.4510819
